event_name,location,event_url,type
Rent24,"Potsdamer Straße 182, 10783 Berlin",https://www.rent24.com/standorte/berlin/potsdamer-strasse-182/,coworking_space
Rent24,"Potsdamer Straße 188, 10783 Berlin ",https://www.rent24.com/standorte/berlin/potsdamer-strasse-188/,coworking_space
Rent24,"Oberwallstraße 6, 10117 Berlin ",https://www.rent24.com/standorte/berlin/oberwallstrasse-6/,coworking_space
Salon Renate,"Weichselstraße 65, 12043 Berlin",http://salonrenate.com/,coworking_space
Satellite Office,"Kurfürstendamm 194, 10707 Berlin",http://www.satelliteoffice.de/de/coworking_desk,coworking_space
Satellite Office,"Unter den Linden 10, 10117 Berlin",http://www.satelliteoffice.de/de/coworking_desk,coworking_space
Satellite Office,"Französische Str. 12, 10117 Berlin",http://www.satelliteoffice.de/de/coworking_desk,coworking_space
Schriftstellerhaus / phase1 ,"Spanheimstraße 1, 13357 Berlin",http://das-schriftstellerhaus.de/schreibraum,coworking_space
Sirius Business Park Berlin-Gartenfeld,"Gartenfelder Str. 29-37, 13599 Berlin",http://www.siriusfacilities.com/de/business-parks/standort/berlin-gartenfeld/beschreibung,coworking_space
Skalitzer 33 Rent A Desk,"Skalitzer Straße 33, 10999 Berlin",www.skalitzer33.de,coworking_space
Smile!,"Gierkezeile 12, 10585 Berlin",http://www.smile-buero.de/coworking-geschaftsadresse/,coworking_space
Social Impact Lab,"Glogauer Str. 2, 10999 Berlin",http://berlin.socialimpactlab.eu,coworking_space
Someone & Sons Studio,"Herrfurthplatz 8, 12049 Berlin",http://someoneandsons.net/studio ,coworking_space
SomoS Art House,"Kottbusser Damm 95, 10967 Berlin",https://www.somos-arts.org/de/kunsthaus-somos-berlin-ueber-uns/,coworking_space
Space Shack ,"Akazienstr. 3, 10823 Berlin",https://www.space-shack.com/,coworking_space
Squarehaus am Nollendorfplatz,"Bülowstraße 6, 10783 Berlin",http://www.coworking-berlin-squarehaus.de,coworking_space
St. Oberholz,"Rosenthaler Straße 72a, 10119 Berlin ",http://www.sanktoberholz.de,coworking_space
St. Oberholz,"Zehdenicker Straße 1, 10119 Berlin ",http://www.sanktoberholz.de,coworking_space
Table of Visions,"Brunnenstraße 18, 10119 Berlin",http://coworking-halleamwasser.com,coworking_space
Teatris,"Uferstraße 8, 13357 Berlin",http://teatris.org/,coworking_space
TechCode ,"Karl-Liebknecht-Str. 5, 10178 Berlin",https://techcode-germany.com,coworking_space
The Earlybird Berlin,"Markgrafenstraße 19A, 10969 Berlin",http://www.earlybird-berlin.de,coworking_space
The FilmTech Office,"Manfred von Richofen Straße 15, 12101 Berlin",https://filmtechoffice.com,coworking_space
The Place,"Charlottenstraße 2, 10969 Berlin",http://theplaceberlin.com/,coworking_space
Thinkfarm,"Oberlandstraße 26 - 35, 12099 Berlin",https://thinkfarm.org/kontakt/,coworking_space
Thunderbolt Collective,"Paul-Lincke-Ufer 20-22, 10999 Berlin",http://thunderbolt-collective.com/,coworking_space
TRANSISTOR,"Ohlauer Str. 43, 10999 Berlin",http://transistor.berlin/,coworking_space
TUECHTIG - Coworking Space und Raum für Inklusion,"Oudenader Straße 16, 13347 Berlin ",www.tuechtig-berlin.de,coworking_space
TUESDAY COWORKING,"Feurigstraße 51, 10827 Berlin",https://www.tuesdaycoworking.com,coworking_space
Unicorn,"Brunnenstraße 173,  10115 Berlin",http://www.unicorn.berlin/ ,coworking_space
Welance,"Waldemarstr. 37a, 10999 Berlin",www.welance.de,coworking_space
Weserland Workspace Berlin,"Weserstrasse 21, 12045 Berlin",http://www.weserland.net,coworking_space
WeWork,"Neue Schönhauserstraße 3-5, 10178 Berlin",https://www.wework.com/locations/berlin/hackescher-markt,coworking_space
WeWork,"Kemperplatz 1, 10785 Berlin",https://www.wework.com/de-DE/buildings/sony-center--berlin,coworking_space
Wonder – Women's Coworking,"Prenzlauer Allee 186, 10405 Berlin",https://www.wonder-coworking.de/,coworking_space
Work Life Collective,"Willdenowstraße 4, HH, 2. OG, 13353 Berlin",http://www.worklifecollective.com/,coworking_space
Works Berlin,"An der Industriebahn 12-16, 13088 Berlin",,coworking_space
Yorckshare GmbH c/o Ines Külper,"Richard-Sorge-Str 8, 10249 Berlin",www.yorckshare.de,coworking_space
ZANATTA media group,Leibnitzstraße 33,http://zanatta.de/,coworking_space
